tx,raw_sample_count,role,class_id
7-14,1014,known,0
12-20,1076,known,1
11-4,1119,known,2
4-1,838,known,3
10-11,1079,known,4
1-18,1060,known,5
4-10,919,known,6
1-12,855,known,7
20-15,1389,known,8
7-7,1032,known,9
19-2,1159,known,10
16-1,1036,known,11
11-7,1116,known,12
5-5,1090,known,13
11-10,901,known,14
2-6,1124,known,15
1-19,1041,known,16
10-17,1259,known,17
3-18,1043,known,18
2-1,455,known,19
19-19,1141,known,20
8-13,832,known,21
11-1,1245,known,22
13-3,1074,known,23
8-3,1149,known,24
5-1,900,known,25
20-1,1147,known,26
1-10,1010,known,27
7-11,1087,known,28
14-11,784,known,29
4-11,1073,known,30
10-7,1163,known,31
8-18,972,known,32
17-10,1035,known,33
1-11,1094,known,34
8-20,1227,known,35
14-14,684,known,36
2-19,1057,known,37
1-1,917,known,38
20-7,916,known,39
15-1,1150,unknown,0
14-10,1139,unknown,1
11-14,1130,unknown,2
2-20,510,unknown,3
11-20,902,unknown,4
11-17,1285,unknown,5
14-7,1185,unknown,6
6-15,1220,unknown,7
6-1,1081,unknown,8
17-11,540,unknown,9
20-20,688,unknown,10
1-2,1145,unknown,11
16-16,1136,unknown,12
19-20,932,unknown,13
7-10,1004,unknown,14
20-12,1294,unknown,15
8-8,896,unknown,16
20-19,1298,unknown,17
1-16,1057,unknown,18
3-13,1092,unknown,19
