sample_index,true_tx,y_true,y_pred,closed_set_pred,unknown_score,rx,date,weight_time,weight_frequency_phase,weight_domain,weight_open_set,reliability_time,reliability_frequency_phase,reliability_domain,reliability_open_set,cluster
7,8-20,20,120,20,0.13358993748912226,13-14,2021_03_23,0.15961048,0.11214036,0.08075485,0.6474943,0.016986473,0.09200788,0.042610556,0.026695466,2
63,10-1,67,120,67,0.9871818867471158,18-2,2021_03_23,0.9938373,0.00015899674,0.0039966996,0.0020070157,0.01417767,0.045424335,0.027194059,0.027044047,10
79,20-1,76,120,74,0.1937943937412618,2-19,2021_03_23,0.8382369,0.02131514,0.07190235,0.06854561,0.019112527,0.049790118,0.02971039,0.047159467,3
86,1-1,57,120,67,0.18680257085349813,2-19,2021_03_23,0.9862111,0.00025726962,0.010059492,0.0034721233,0.03882813,0.040132724,0.025718587,0.034981612,10
94,4-11,65,120,74,0.9995894422375744,18-2,2021_03_23,0.33953577,0.0005697972,0.006999795,0.6528946,0.025252836,0.027217168,0.03534699,0.029437745,1
102,19-10,36,120,71,0.8918768407192176,2-19,2021_03_23,0.12463635,0.026982497,0.054552715,0.79382837,0.024571054,0.18894383,0.02503574,0.03999123,0
114,20-20,105,120,105,0.7726145896108146,18-2,2021_03_23,0.01041292,0.18286233,0.017928503,0.7887963,0.012170049,0.08103704,0.02693469,0.0304487,2
116,8-8,89,120,85,0.9801850598576269,18-2,2021_03_23,0.72287977,0.0066059674,0.17304999,0.097464256,0.01079355,0.03432417,0.029659037,0.047221106,3
146,1-1,57,120,51,0.6683176079226295,13-14,2021_03_23,0.744046,0.15144467,0.08714214,0.017367212,0.009605999,0.1718191,0.054509234,0.08085623,11
151,2-13,83,120,86,0.7587196457999558,2-19,2021_03_23,0.09176297,0.027349763,0.040317643,0.8405696,0.02236998,0.46073204,0.030592894,0.015879298,9
159,20-18,8,120,8,0.2254982224816124,1-19,2021_03_23,0.0020155576,0.9705625,0.0058754743,0.021546459,0.021517191,0.27189335,0.02506527,0.13005984,0
191,3-18,24,120,105,0.2930170747278283,18-2,2021_03_23,0.8420892,0.00517198,0.101261176,0.051477633,0.0179228,0.052713446,0.04026622,0.03634751,6
205,7-10,40,120,16,0.39894329403553835,18-2,2021_03_23,0.5594411,0.0052115708,0.3207714,0.114576,0.044157553,0.045020573,0.025762536,0.06131708,10
209,7-1,73,120,73,0.8373318147079133,2-19,2021_03_23,0.0027893889,0.0009409516,0.0027521737,0.9935175,0.019587778,0.18516336,0.031350557,0.05672882,1
226,6-15,59,120,67,0.12645240923563697,18-2,2021_03_23,0.23759687,0.004443592,0.75578135,0.0021781328,0.0428757,0.054098915,0.053820696,0.09594766,7
245,2-19,87,120,87,0.12119791057162625,18-2,2021_03_23,0.01766705,0.9147604,0.032333914,0.03523861,0.025659045,0.0681192,0.04963759,0.12684585,0
249,7-10,40,120,116,0.9524152335039703,18-2,2021_03_23,0.11167491,0.056882303,0.06490243,0.76654035,0.023935273,0.057444125,0.06551735,0.06693187,1
272,3-18,24,120,51,0.6952218718552439,18-2,2021_03_23,0.95048845,0.005698426,0.031441674,0.012371409,0.016892677,0.14975813,0.041268084,0.07585223,11
292,17-10,97,120,97,0.9085103337001023,2-19,2021_03_23,0.9122129,0.058575574,0.01613308,0.0130783785,0.011959086,0.077969976,0.03364126,0.052967973,3
302,4-10,15,120,15,0.9091883052696439,18-2,2021_03_23,0.13854401,0.08057794,0.013319357,0.7675587,0.009569287,0.11228749,0.045915153,0.06997336,2
305,20-18,8,120,24,0.8877232379006907,18-2,2021_03_23,0.25547,0.2124382,0.39349344,0.13859832,0.017700117,0.08050178,0.043029733,0.1403768,2
308,11-19,12,120,76,0.502933191262774,18-2,2021_03_23,0.7611076,0.006801301,0.015690867,0.21640019,0.04703746,0.032413665,0.091220856,0.1020603,10
319,2-4,17,120,7,0.3582748125093892,2-19,2021_03_23,0.58855325,0.10421117,0.3033227,0.0039128666,0.016461551,0.040295046,0.024065778,0.13653047,11
327,20-12,64,120,64,0.11229275947360695,13-14,2021_03_23,0.019880086,0.01782752,0.03838925,0.9239031,0.016727347,0.0991778,0.06349228,0.089056514,1
334,4-11,65,120,65,0.6917402932724066,18-2,2021_03_23,0.60693073,0.055238564,0.012891062,0.3249397,0.01875969,0.031765785,0.03855626,0.042776875,6
363,19-2,74,120,110,0.1932137679202082,2-19,2021_03_23,0.8645612,0.01046387,0.010615457,0.11435948,0.18601567,0.061570868,0.04380089,0.14007722,3
365,20-12,64,120,64,0.21947550134724053,8-14,2021_03_23,0.08506814,0.02947475,0.016746182,0.86871094,0.027340695,0.08253064,0.045735404,0.14503296,1
395,11-7,49,120,59,0.3353916741099098,1-19,2021_03_23,0.4607331,0.041930534,0.060831733,0.43650466,0.022372356,0.07585771,0.035256993,0.11090342,10
403,1-19,32,120,74,0.99916124755044,18-2,2021_03_23,0.7361782,0.053983632,0.16649465,0.04334355,0.012278929,0.09053344,0.040690534,0.052169044,3
480,1-1,57,120,115,0.9456493446106161,8-14,2021_03_23,0.8949391,0.010974344,0.04293535,0.05115119,0.021126404,0.12247056,0.029465182,0.05387589,11
486,7-20,102,120,41,0.5949430921166,18-2,2021_03_23,0.26523492,0.25523305,0.008470171,0.4710619,0.013546102,0.024350924,0.040666226,0.08796806,0
487,1-1,57,120,76,0.9448455906065008,8-14,2021_03_23,0.9755098,0.013903751,0.00859069,0.0019957821,0.027207786,0.14437476,0.030129597,0.11947963,11
